,our_id,source,ra_overall,dec_overall
0,191213_11940,GLADE,250.629,-3.9998
40363,200129_5795,GLADE,320.373834884,0.801229659445
40364,200129_5796,GLADE,320.379875795,0.730821938256
40365,200129_5798,GLADE,320.39343111700003,0.383979554385
40366,200129_5799,GLADE,320.39475147,1.25445978335
40367,200129_58,GLADE,318.361237,2.523159
40368,200129_5801,GLADE,320.40253361,3.13366007678
40369,200129_5803,GLADE,320.40678777799997,0.724527586127
40370,200129_5804,GLADE,320.407674149,0.109502578282
40362,200129_5793,GLADE,320.369566173,0.389110137821
40371,200129_5805,GLADE,320.40902683400003,1.23763361449
40373,200129_5809,GLADE,320.416679805,0.579510623736
40374,200129_5811,GLADE,320.42409113400004,0.787448405696
40375,200129_5812,GLADE,320.431575116,0.392635032737
40376,200129_5813,GLADE,320.43329105099997,0.665070705231
40377,200129_5814,GLADE,320.435177438,3.73455418112
40378,200129_5815,GLADE,320.443894801,0.0407758956454
40379,200129_5816,GLADE,320.448535389,2.62107482603
4859,200129_1205,GLADE,315.665741,11.445004
40372,200129_5808,GLADE,320.412547652,0.477179128152
40361,200129_5792,GLADE,320.357352842,0.593996323006
40360,200129_5791,GLADE,320.340293986,0.0373568505355
40359,200129_5790,GLADE,320.33781904,1.15580620037
40340,200129_5768,GLADE,320.274888967,0.444621114678
40341,200129_5769,GLADE,320.276546853,1.17462376241
40342,200129_5770,GLADE,320.28268075,0.108327191207
40343,200129_5771,GLADE,320.285534967,2.13317528466
40344,200129_5772,GLADE,320.28636,0.26328215
40345,200129_5774,GLADE,320.293220361,1.04275423949
40346,200129_5775,GLADE,320.293942461,3.91707765529
40347,200129_5778,GLADE,320.30293691400004,0.467564556619
40348,200129_5779,GLADE,320.308955018,0.8708924514249999
40349,200129_5780,GLADE,320.312489457,4.09186198746
40350,200129_5781,GLADE,320.31434320799997,0.216371150473
40351,200129_5782,GLADE,320.31453873099997,0.411599139495
40352,200129_5783,GLADE,320.316694488,0.951552677594
40353,200129_5784,GLADE,320.318537391,0.0903833003687
40354,200129_5785,GLADE,320.320935097,0.834848754528
40355,200129_5786,GLADE,320.323853471,2.4721465886
40356,200129_5787,GLADE,320.32944,0.75491248
40357,200129_5788,GLADE,320.32981682400003,1.34435587395
40358,200129_5789,GLADE,320.335292472,2.1437249431
40380,200129_5817,GLADE,320.456220471,1.1790320915
40381,200129_5818,GLADE,320.462389434,0.72578455589
40382,200129_5819,GLADE,320.464788865,0.581451319156
40383,200129_5820,GLADE,320.480711867,0.755781660755
