,our_id,RA,Dec
4222,200129_5867,309.9878636,26.00109399
4223,200129_5868,309.3958053,26.00830957
4224,200129_5869,309.6738022,26.00901145
4225,200129_5870,309.9060746,26.00640808
4226,200129_5871,308.6783693,26.02183495
4227,200129_5872,309.4932727,26.00551619
4228,200129_5873,308.995362,26.0437463
4229,200129_5874,308.7735363,26.05266143
4230,200129_5875,309.7322121,26.00983648
4231,200129_5876,309.0157872,26.03001436
4232,200129_5877,309.8777357,26.02991458
4233,200129_5878,309.7673297,26.05047278
4234,200129_5879,308.83653010000006,26.00848566
4235,200129_5880,308.8728844,26.01610789
4236,200129_5881,309.6836242,26.02946887
4237,200129_5882,309.7849693,26.03049448
4238,200129_5883,309.6065535,26.06745716
4239,200129_5884,309.7050573,26.02633373
4240,200129_5885,309.4575542,26.00961704
4241,200129_5886,309.02551889999995,26.05104765
4242,200129_5887,309.82532819999994,26.07055173
4243,200129_5888,309.5989627,26.05232551
4244,200129_5889,308.8394249,26.07329055
4245,200129_5890,309.8775027,26.02793962
4246,200129_5891,308.7751815,26.05321585
4247,200129_5892,308.5607961,26.06051478
4248,200129_5893,309.8997213,26.06741516
4249,200129_5894,308.6524934,26.05403638
4250,200129_5895,309.62311810000006,26.05781935
4251,200129_5896,309.2444157,26.05315256
4252,200129_5897,309.4033802,26.00857313
4253,200129_5898,308.6487978,26.00041766
4254,200129_5899,309.5424776,26.00388272
4255,200129_5900,309.4875813999999,26.01825306
4256,200129_5901,309.62309710000005,26.02861955
4257,200129_5902,309.3986522,26.03243794
4258,200129_5903,308.9036522,26.02562955
4259,200129_5904,308.7051557,26.06984386
4260,200129_5905,308.82527610000005,26.00392789
4261,200129_5906,309.4249416,26.04902826
4262,200129_5907,309.4408277,26.0705763
4263,200129_5908,309.8266857,26.03429109
4264,200129_5909,309.6394785,26.05817085
4265,200129_5910,309.7794287,26.0731449
4266,200129_5911,309.5737142,26.00130617
4267,200129_5912,309.4251096000001,26.05031063
4268,200129_5913,309.4637946,26.00603507
4269,200129_5914,308.8453458,26.02719314
4270,200129_5915,309.7175883999999,26.02626706
4271,200129_5916,309.209833,26.05358107
4272,200129_5917,309.41431810000006,26.08382503
4273,200129_5918,309.61045319999994,26.05761701
4274,200129_5919,308.9981224,26.07191171
4275,200129_5920,309.8234222,26.07520116
4276,200129_5921,308.6491601,26.09733545
4277,200129_5922,309.1092184,26.01994486
4278,200129_5923,309.3673512000001,26.07069559
4279,200129_5924,308.6645754,26.09469439
