,objName,objNameHMS,objAltName1,objAltName2,objAltName3,objPopularName,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,Column1,Column2,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,PGC,GWGC,HyperLEDA,2MASS,SDSS,flag1,RA,Dec,dist,dist_err,z,Bmag,e_Bmag,AbsBMag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,eKmag,flag2,flag3,source,our_id
979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249215,21153506+0317335,,G,318.896118,3.292645,548.9888029780001,,0.117577,17.608,,-21.0898,14.588,0.07200000000000001,13.857000000000001,0.09,13.388,0.091,1.0,0.0,GLADE,979
980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252182,21143528+0326056,,G,318.64703399999996,3.434914,507.955571936,,0.10939600000000001,17.64,,-20.8891,14.655,0.07200000000000001,14.190999999999999,0.124,13.505999999999998,0.091,1.0,0.0,GLADE,980
981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253369,21151372+0329464,,G,318.80719,3.4962230000000005,408.477012485,,0.089212,17.257,,-20.7988,14.747,0.09300000000000001,14.02,0.11599999999999999,13.626,0.125,1.0,0.0,GLADE,981
982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254206,21143295+0332326,,G,318.63729900000004,3.542414,701.5470396860001,,0.147317,17.6,,-21.6303,14.565,0.08,14.113,0.138,13.267999999999999,0.096,1.0,0.0,GLADE,982
983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21140997+0339466,,G,318.541565,3.6629699999999996,512.959356253,,0.110398,17.515,,-21.0354,14.328,0.08,13.712,0.11800000000000001,13.312000000000001,0.11699999999999999,1.0,0.0,GLADE,983
984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21143468+0328396,,G,318.64453100000003,3.477692,552.2916580469999,,0.11823199999999999,17.595,,-21.1158,14.564,0.067,14.100999999999999,0.114,13.492,0.091,1.0,0.0,GLADE,984
985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21142507+0340226,,G,318.604462,3.672971,522.524506193,,0.11231,16.823,,-21.7675,15.116,0.105,14.49,0.168,13.915,0.13699999999999998,1.0,0.0,GLADE,985
986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21143175+0318476,,G,318.632294,3.313248,617.206862182,,0.131003,18.142,,-20.8102,15.037,0.08800000000000001,14.22,0.11800000000000001,13.834000000000001,0.114,1.0,0.0,GLADE,986
987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21150864+0329193,,G,318.786041,3.488722,409.94682769300005,,0.089514,18.334,,-19.7296,14.770999999999999,0.17800000000000002,14.151,0.247,13.622,0.23399999999999999,1.0,0.0,GLADE,987
988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21150297+0337483,,G,318.76239,3.6301069999999998,,,,,,,15.265,0.114,,,13.894,0.129,0.0,0.0,GLADE,988
989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21151572+0343064,,G,318.815521,3.7184459999999997,,,,,,,15.177999999999999,0.11699999999999999,,,14.2,0.18899999999999997,0.0,0.0,GLADE,989
990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211400.59+031525.9,,,G,318.502,3.2572200000000002,977.237,,0.19869411934700001,,,,,,,,,,2.0,0.0,GLADE,990
991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211419.54+032658.3,,,G,318.58099999999996,3.4495400000000003,2376.84,,0.428291854146,,,,,,,,,,2.0,0.0,GLADE,991
992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211427.20+032451.4,,,G,318.613,3.4143,1076.47,,0.21654034827,,,,,,,,,,2.0,0.0,GLADE,992
993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211410.50+032000.7,,,G,318.54400000000004,3.33353,2454.71,,0.439992009996,,,,,,,,,,2.0,0.0,GLADE,993
994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211421.69+032521.9,,,G,318.59,3.42277,2570.4,,0.457218318609,,,,,,,,,,2.0,0.0,GLADE,994
995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211441.88+032359.9,,,G,318.675,3.3999900000000003,1432.19,,0.27815836907900005,,,,,,,,,,2.0,0.0,GLADE,995
996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211446.23+032200.8,,,G,318.693,3.36691,1452.11,,0.281511230756,,,,,,,,,,2.0,0.0,GLADE,996
997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211512.75+032024.4,,,G,318.803,3.3401099999999997,981.748,,0.199512279756,,,,,,,,,,2.0,0.0,GLADE,997
998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211354.00+033923.2,,,G,318.475,3.65646,2582.26,,0.45897391948700006,,,,,,,,,,2.0,0.0,GLADE,998
999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211418.32+034119.5,,,G,318.57599999999996,3.68877,2535.13,,0.45198595599299995,,,,,,,,,,2.0,0.0,GLADE,999
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211427.80+034325.1,,,G,318.616,3.72364,1380.38,,0.269392754696,,,,,,,,,,2.0,0.0,GLADE,1000
1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211530.89+034056.6,,,G,318.879,3.6824,1445.44,,0.28038962019499997,,,,,,,,,,2.0,0.0,GLADE,1001
1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211356.30+033633.6,,,G,318.485,3.6093599999999997,995.405,,0.201985240993,,,,,,,,,,2.0,0.0,GLADE,1002
1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211338.55+032734.8,,,G,318.411,3.45969,2376.84,,0.428291854146,,,,,,,,,,2.0,0.0,GLADE,1003
1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211437.28+033747.6,,,G,318.655,3.6299099999999997,1976.97,,0.366742503371,,,,,,,,,,2.0,0.0,GLADE,1004
1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211418.80+033826.5,,,G,318.578,3.6407,714.4960000000001,,0.149795174898,,,,,,,,,,2.0,0.0,GLADE,1005
1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211503.85+033232.5,,,G,318.76599999999996,3.54238,2546.83,,0.45372349686200003,,,,,,,,,,2.0,0.0,GLADE,1006
1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDSSJ211509.66+033042.6,,,G,318.79,3.51186,2535.13,,0.45198595599299995,,,,,,,,,,2.0,0.0,GLADE,1007
